城市,year,month,YYYY_MM,PM2.5
上海,2013,10,2013-10,36.75
上海,2013,11,2013-11,79.2
上海,2013,12,2013-12,129.0
上海,2014,1,2014-01,77.06666666666666
上海,2014,2,2014-02,51.57142857142857
上海,2014,3,2014-03,56.8
上海,2014,4,2014-04,52.333333333333336
上海,2014,5,2014-05,62.96774193548387
上海,2014,6,2014-06,43.46666666666667
上海,2014,7,2014-07,44.41935483870968
上海,2014,8,2014-08,37.96551724137931
上海,2014,9,2014-09,34.733333333333334
上海,2014,10,2014-10,39.516129032258064
上海,2014,11,2014-11,51.93333333333333
上海,2014,12,2014-12,70.3103448275862
上海,2015,1,2015-01,82.45161290322581
上海,2015,2,2015-02,63.32142857142857
上海,2015,3,2015-03,53.483870967741936
上海,2015,4,2015-04,55.36666666666667
上海,2015,5,2015-05,43.03225806451613
上海,2015,6,2015-06,42.8
上海,2015,7,2015-07,38.774193548387096
上海,2015,8,2015-08,39.806451612903224
上海,2015,9,2015-09,33.766666666666666
上海,2015,10,2015-10,47.38709677419355
上海,2015,11,2015-11,57.733333333333334
上海,2015,12,2015-12,82.54838709677419
上海,2016,1,2016-01,69.54838709677419
上海,2016,2,2016-02,54.10344827586207
上海,2016,3,2016-03,52.16129032258065
上海,2016,4,2016-04,55.06666666666667
上海,2016,5,2016-05,49.774193548387096
上海,2016,6,2016-06,39.4
上海,2016,7,2016-07,38.193548387096776
上海,2016,8,2016-08,18.70967741935484
上海,2016,9,2016-09,32.53333333333333
上海,2016,10,2016-10,22.096774193548388
上海,2016,11,2016-11,43.43333333333333
上海,2016,12,2016-12,57.67741935483871
上海,2017,1,2017-01,44.74193548387097
上海,2017,2,2017-02,49.82142857142857
上海,2017,3,2017-03,44.03225806451613
上海,2017,4,2017-04,43.833333333333336
上海,2017,5,2017-05,31.193548387096776
上海,2017,6,2017-06,37.733333333333334
上海,2017,7,2017-07,32.516129032258064
上海,2017,8,2017-08,30.258064516129032
上海,2017,9,2017-09,25.4
上海,2017,10,2017-10,24.133333333333333
上海,2017,11,2017-11,41.36666666666667
上海,2017,12,2017-12,54.25806451612903
上海,2018,1,2018-01,57.193548387096776
上海,2018,2,2018-02,44.892857142857146
上海,2018,3,2018-03,40.45161290322581
上海,2018,4,2018-04,41.766666666666666
